[2019-10-10 19:52:40,954] - logger.py] - INFO: 开始执行test_001
[2019-10-10 19:52:41,259] - logger.py] - INFO: test_001 pass
[2019-10-10 19:52:41,262] - logger.py] - INFO: 开始执行test_002
[2019-10-10 19:52:41,434] - logger.py] - INFO: test_002 pass
[2019-10-10 19:52:41,439] - logger.py] - INFO: 开始执行test_003
[2019-10-10 19:52:41,558] - logger.py] - INFO: 开始执行test_004
[2019-10-10 19:52:41,831] - logger.py] - INFO: test_004 pass
[2019-10-10 19:52:41,834] - logger.py] - INFO: 开始执行test_005
[2019-10-10 19:52:41,922] - logger.py] - INFO: test_005 pass
[2019-10-10 19:52:41,926] - logger.py] - INFO: 开始执行test_006
[2019-10-10 19:52:42,032] - logger.py] - INFO: test_006 pass
[2019-10-10 19:52:42,035] - logger.py] - INFO: 开始执行test_007
[2019-10-10 19:52:42,145] - logger.py] - INFO: test_007 pass
[2019-10-10 19:52:42,149] - logger.py] - INFO: 开始执行test_008
[2019-10-10 19:52:44,904] - logger.py] - INFO: test_008 pass
[2019-10-10 19:52:44,907] - logger.py] - INFO: 开始执行test_009
[2019-10-10 19:52:47,173] - logger.py] - INFO: test_009 pass
[2019-10-10 19:52:47,177] - logger.py] - INFO: 开始执行test_010
[2019-10-10 19:52:47,282] - logger.py] - INFO: test_010 pass
[2019-10-10 19:52:47,285] - logger.py] - INFO: 开始执行test_011
[2019-10-10 19:52:47,385] - logger.py] - INFO: test_011 pass
[2019-10-10 19:52:51,342] - logger.py] - INFO: 开始执行test_001
[2019-10-10 19:52:53,697] - logger.py] - INFO: test_001 pass
[2019-10-10 19:52:53,700] - logger.py] - INFO: 开始执行test_002
[2019-10-10 19:52:53,805] - logger.py] - INFO: 开始执行test_003
[2019-10-10 19:52:53,966] - logger.py] - INFO: 开始执行test_004
[2019-10-10 19:52:54,527] - logger.py] - INFO: test_004pass
[2019-10-10 19:52:54,531] - logger.py] - INFO: 开始执行test_005
[2019-10-10 19:52:57,434] - logger.py] - INFO: test_004 pass
[2019-10-10 19:52:57,441] - logger.py] - INFO: 开始执行test_006
[2019-10-10 19:52:57,591] - logger.py] - INFO: test_006 pass
[2019-10-10 19:52:57,594] - logger.py] - INFO: 开始执行test_007
[2019-10-10 19:53:00,244] - logger.py] - INFO: 开始执行test_008
[2019-10-10 19:53:00,600] - logger.py] - INFO: test_008 pass
[2019-10-10 19:53:00,604] - logger.py] - INFO: 开始执行test_009
[2019-10-10 19:53:00,607] - logger.py] - INFO: test_008 pass
[2019-10-10 19:53:00,610] - logger.py] - INFO: 开始执行test_0010
[2019-10-10 19:53:05,276] - logger.py] - INFO: 开始执行test_user001
